PROGRAMA,FECHA_EMISION,MUNICIPIO,FAMILIAS,PARTICIPANTES,BENEFICIOS,BENEFICIO_PROMEDIO,FEMENINO,MASCULINO,OTROS,EDAD_0_4,EDAD_5_13,EDAD_14_17,EDAD_18_24,EDAD_25_44,EDAD_45_64,EDAD_65,INCAPACITADOS,DEAMBULANTES,ESTUDIANTES
PAN,201405,GUAYANILLA,10679,30867,3325124,311.37,5859,4818,2,857,1602,677,1174,2703,2252,1414,716,5,2504
PAN,201405,HORMIGUEROS,5331,14099,1495925,280.61,3047,2283,1,393,660,280,496,1167,1127,1208,399,2,776
PAN,201405,OROCOVIS,13028,38782,4103012,314.94,6750,6275,3,1028,1724,940,1687,2999,3001,1649,1516,2,2586
PAN,201405,ARROYO,8462,23513,2513061,296.98,4758,3701,3,724,1246,525,1030,2054,1725,1157,763,12,408
PAN,201405,RIO PIEDRAS 3,19876,53546,5819080,292.77,12293,7579,4,2086,3803,1360,2221,4490,3530,2386,1391,275,5402
PAN,201405,NARANJITO,15901,45263,4784306,300.88,8542,7356,3,1299,2224,1036,1873,3774,3467,2227,2137,6,2344
PAN,201405,DORADO,11766,32315,3428226,291.37,6758,5005,3,1011,1808,867,1309,2631,2370,1769,1008,4,2468
PAN,201405,CATAÑO,11484,32811,3560513,310.04,6754,4729,1,1114,1996,836,1405,2612,2169,1352,1037,85,2450
PAN,201405,PATILLAS,8685,23439,2498949,287.73,4654,4027,4,655,1168,503,956,1940,2084,1379,1147,5,454
PAN,201405,LARES,16205,45476,4894838,302.06,8532,7667,6,1092,2073,1051,1896,4004,3637,2452,1836,5,3424
TANF,201406,CEIBA,373,822,59240,158.82,250,123,0,48,83,25,30,87,63,37,71,0,53
TANF,201406,AIBONITO,486,824,58501,120.37,308,178,0,45,42,15,26,89,167,102,209,1,54
TANF,201406,YABUCOA,1298,2370,173214,133.45,818,480,0,141,202,35,99,279,322,220,408,0,206
TANF,201406,LAJAS,471,783,54996,116.76,280,191,0,24,62,22,16,98,128,121,147,0,84
TANF,201406,LOIZA,660,1279,85696,129.84,405,255,0,70,117,20,49,112,142,150,167,1,124
TANF,201406,GUAYANILLA,496,859,61820,124.64,311,185,0,26,76,24,14,98,120,138,142,0,96
TANF,201406,MANATI,1202,2479,179128,149.02,758,444,0,104,244,69,66,237,237,245,255,0,210
TANF,201406,COROZAL,1018,1649,116189,114.13,571,447,0,47,127,29,33,178,329,275,378,0,88
TANF,201406,RIO GRANDE,1177,2427,172521,146.58,765,412,0,106,235,70,67,233,209,257,254,1,144
TANF,201406,JAYUYA,709,1878,132078,186.29,413,296,0,57,149,50,33,175,157,88,245,0,156
TANF,201406,VILLALBA,408,710,47817,117.2,244,164,0,25,38,18,23,68,91,145,115,0,46
TANF,201406,NARANJITO,662,1188,86305,130.37,394,268,0,39,97,28,27,148,183,140,241,1,70
PAN,201406,OROCOVIS,13067,38936,4100271,313.79,6776,6289,2,1039,1732,941,1675,3018,3007,1655,1517,1,2603
PAN,201406,CAROLINA,44249,121481,12827538,289.89,26812,17421,16,4207,7585,3090,5134,9497,7955,6781,3068,142,10785
PAN,201406,ARECIBO,41455,105663,11583271,279.42,23078,18369,8,3011,5536,2584,4927,9688,8835,6871,4112,155,7988
PAN,201406,NARANJITO,15879,45064,4750872,299.19,8536,7339,4,1312,2224,1008,1887,3762,3452,2232,2132,7,2323
PAN,201406,BARRANQUITAS,17504,50149,5383052,307.53,9485,8017,2,1582,2575,1204,2348,4186,3717,1892,1745,2,3525
PAN,201406,TRUJILLO ALTO,18241,49585,5249222,287.77,10620,7617,4,1644,2998,1263,1848,3915,3524,3046,1592,120,4113
PAN,201406,CAMUY,15351,41380,4387080,285.78,8394,6955,2,1122,2040,952,1674,3685,3474,2404,1782,5,2968
PAN,201406,SAN LORENZO,16104,42838,4537289,281.75,8911,7190,3,1135,2105,951,1663,3515,4062,2673,1926,5,2866
PAN,201406,GUÁNICA,8856,25378,2706813,305.65,4863,3990,3,646,1169,570,946,1952,2009,1564,657,5,1854
PAN,201406,COAMO,16193,45814,4862670,300.29,8937,7246,10,1296,2324,1112,1978,3706,3452,2323,1470,8,2551
PAN,201406,CEIBA,5170,14279,1499619,290.06,2954,2216,0,462,740,325,651,1190,1021,781,385,0,619
TANF,201407,BAYAMON,2457,4873,329668,134.18,1554,903,0,237,456,126,115,439,476,608,564,9,474
TANF,201407,VEGA BAJA,1000,1927,129016,129.02,584,416,0,81,192,56,53,155,203,260,228,1,207
TANF,201407,MANATI,1160,2440,174924,150.8,734,426,0,94,233,81,64,235,217,236,239,0,208
TANF,201407,RIO GRANDE,1141,2381,170964,149.84,732,409,0,94,231,67,67,227,217,238,255,1,138
TANF,201407,GUÁNICA,359,564,37637,104.84,220,139,0,22,47,13,20,69,90,98,116,1,56
TANF,201407,OROCOVIS,655,1175,87713,133.91,368,287,0,51,74,30,32,120,176,172,218,0,67
TANF,201407,UTUADO,650,1140,80335,123.59,384,266,0,41,91,16,29,119,188,166,221,5,84
TANF,201407,PEÑUELAS,674,1314,90764,134.66,397,277,0,49,103,39,48,144,200,91,270,0,140
TANF,201407,CASTAÑER,69,125,8920,129.28,49,20,0,3,11,5,2,7,12,29,6,0,9
PAN,201407,CAGUAS,44548,118210,12888866,289.33,26113,18415,20,3493,6778,3001,4889,9777,9096,7511,3876,218,6511
PAN,201407,ARECIBO,41453,105503,11880228,286.6,23086,18358,9,3024,5519,2580,4907,9694,8858,6868,4110,154,7993
PAN,201407,GUAYAMA,16541,45322,4970681,300.51,9272,7269,0,1363,2499,1139,1842,3951,3430,2317,1755,6,811
PAN,201407,MAYAGÜEZ,32037,85703,9526593,297.36,18355,13678,4,2595,4509,1937,3484,7113,6731,5668,1933,234,6466
PAN,201407,JAYUYA,8391,25609,2826797,336.88,4362,4026,3,670,1194,605,1014,1991,1893,1024,970,0,1815
TANF,201303,CIDRA,609,1137,81835,134.38,342,267,0,48,94,25,31,122,162,127,216,1,101
TANF,201303,AGUADILLA,1750,3248,229443,131.11,1033,717,0,159,256,62,107,327,489,350,577,1,184
TANF,201303,ARECIBO,2265,4269,307232,135.64,1426,839,0,208,353,122,137,407,557,481,626,11,412
TANF,201303,LUQUILLO,486,1068,76890,158.21,307,179,0,61,100,20,37,107,79,82,99,1,60
TANF,201303,RIO PIEDRAS,1134,2143,154803,136.51,703,431,0,105,218,41,44,210,229,287,248,45,253
TANF,201303,CANOVANAS,1162,2730,190476,163.92,741,421,0,139,272,64,96,254,180,157,249,0,248
TANF,201303,PATILLAS,570,1129,80548,141.31,339,231,0,55,84,34,41,111,135,110,175,0,60
TANF,201302,GUAYAMA,1356,3015,211503,155.98,850,506,0,192,284,89,113,281,241,156,324,0,65
TANF,201303,ARROYO,625,1389,97903,156.64,386,239,0,84,137,31,54,135,114,70,150,0,33
TANF,201302,CAYEY,879,1598,113146,128.72,535,344,0,72,128,45,44,166,242,182,298,0,18
TANF,201302,RIO GRANDE,1120,2471,171583,153.2,730,390,0,103,234,76,70,232,182,223,238,0,146
TANF,201303,SAN LORENZO,890,1431,102832,115.54,559,331,0,42,115,38,43,185,286,181,367,1,117
TANF,201302,JUNCOS,984,1984,136319,138.54,610,374,0,98,178,41,57,217,233,160,277,3,112
TANF,201302,ISABELA,1068,1964,141561,132.55,634,434,0,74,164,38,56,208,268,260,326,1,163
TANF,201302,COROZAL,1042,1643,118240,113.47,597,445,0,52,121,32,41,193,331,272,395,0,85
TANF,201302,CANOVANAS,1165,2734,191332,164.23,741,424,0,141,276,65,92,256,177,158,240,0,257
TANF,201302,NARANJITO,701,1320,95636,136.43,423,278,0,48,99,30,33,153,210,128,256,0,84
TANF,201303,CEIBA,400,958,73648,184.12,264,136,0,59,92,29,25,104,59,32,80,0,69
TANF,201303,AÑASCO,492,889,63166,128.39,307,185,0,38,77,25,27,103,127,95,172,0,102
TANF,201302,HUMACAO,1615,3712,263469,163.14,1014,601,0,263,335,110,140,301,270,196,303,6,328
